Dataset,Accuracy,Precision,Recall,F1,ROC_AUC
CORD,0.44642857142857145,0.5,0.008064516129032258,0.015873015873015872,0.645
FUNSD,0.5434782608695652,0.654320987654321,0.6022727272727273,0.6272189349112426,0.6002272727272727
FigStep,0.0,0.0,0.0,0.0,
